city,state_id,state_name,county_name,population,lat,lng
Rosedale,NY,New York,,25812,40.66205,-73.73541
New Lenox,IL,Illinois,,25800,41.51198,-87.96561
Madison,MS,Mississippi,,25799,32.46181,-90.11536
Neenah,WI,Wisconsin,,25792,44.18582,-88.46261
Alvin,TX,Texas,,25791,29.42385,-95.2441
Key West,FL,Florida,,25755,24.55524,-81.78163
Randolph,NJ,New Jersey,,25734,40.84829,-74.58148
Temple Terrace,FL,Florida,,25731,28.0353,-82.38926
Owatonna,MN,Minnesota,,25725,44.08385,-93.22604
Homewood,AL,Alabama,,25708,33.47177,-86.80082
Sahuarita,AZ,Arizona,,25707,31.95758,-110.95565
Maple Valley,WA,Washington,,25686,47.39272,-122.04641
Hazelwood,MO,Missouri,,25661,38.77144,-90.37095
Troy,OH,Ohio,,25659,40.0395,-84.20328
Lemoore,CA,California,,25647,36.30078,-119.78291
Mint Hill,NC,North Carolina,,25627,35.17959,-80.64729
Ridgewood,NJ,New Jersey,,25621,40.97926,-74.11653
Long Island City,NY,New York,,25595,40.74482,-73.94875
Cabot,AR,Arkansas,,25587,34.97453,-92.01653
Rhawnhurst,PA,Pennsylvania,,25581,40.06178,-75.05573
Reedley,CA,California,,25569,36.59634,-119.4504
Edgewood,MD,Maryland,,25562,39.41872,-76.2944
Meadow Woods,FL,Florida,,25558,28.38556,-81.36646
South Portland,ME,Maine,,25556,43.64147,-70.24088
West Whittier-Los Nietos,CA,California,,25540,33.976,-118.06909
Lebanon,PA,Pennsylvania,,25534,40.34093,-76.41135
Zanesville,OH,Ohio,,25498,39.94035,-82.01319
Colleyville,TX,Texas,,25487,32.88096,-97.15501
Canton,GA,Georgia,,25469,34.23676,-84.49076
Ossining,NY,New York,,25441,41.16287,-73.86152
Salem,VA,Virginia,,25432,37.29347,-80.05476
Burlington,IA,Iowa,,25410,40.80754,-91.11292
Saratoga Springs,UT,Utah,,25407,40.34912,-111.90466
Melrose Park,IL,Illinois,,25379,41.90059,-87.85673
Starkville,MS,Mississippi,,25366,33.45049,-88.81961
Lochearn,MD,Maryland,,25333,39.34066,-76.72219
Chanhassen,MN,Minnesota,,25332,44.86219,-93.53079
Hercules,CA,California,,25314,38.01714,-122.28858
Galt,CA,California,,25303,38.25464,-121.29995
Prior Lake,MN,Minnesota,,25282,44.7133,-93.42273
Castlewood,CO,Colorado,,25271,39.58471,-104.90109
Grandview,MO,Missouri,,25256,38.88584,-94.53301
Clinton,MS,Mississippi,,25254,32.34153,-90.32176
Yarmouth,MA,Massachusetts,,25243,41.70567,-70.22863
Sandusky,OH,Ohio,,25212,41.44894,-82.70796
Balch Springs,TX,Texas,,25210,32.72874,-96.62277
White Bear Lake,MN,Minnesota,,25205,45.08469,-93.00994
Chaska,MN,Minnesota,,25199,44.78941,-93.60218
Harvey,IL,Illinois,,25194,41.61003,-87.64671
Middle River,MD,Maryland,,25191,39.33427,-76.43941
Woodstock,IL,Illinois,,25189,42.31474,-88.4487
Ardmore,OK,Oklahoma,,25176,34.17426,-97.14363
Lockport,IL,Illinois,,25175,41.58948,-88.05784
Woodburn,OR,Oregon,,25173,45.14373,-122.85537
Wyandotte,MI,Michigan,,25156,42.21421,-83.14992
Mauldin,SC,South Carolina,,25135,34.77873,-82.31012
Belvidere,IL,Illinois,,25132,42.26391,-88.84427
Moscow,ID,Idaho,,25060,46.73239,-117.00017
Milford,MA,Massachusetts,,25055,42.13982,-71.51617
West Memphis,AR,Arkansas,,25052,35.14648,-90.18454
Athens,OH,Ohio,,25044,39.32924,-82.10126
Mercer Island,WA,Washington,,25042,47.57065,-122.22207
Bridgeton,NJ,New Jersey,,25031,39.42734,-75.23408
Maplewood,NJ,New Jersey,,25008,40.73121,-74.27348
Soledad,CA,California,,25003,36.42469,-121.32632
Farmington,CT,Connecticut,,25000,41.71982,-72.83204
Brownsburg,IN,Indiana,,24996,39.84338,-86.39777
Saginaw Township North,MI,Michigan,,24994,43.46004,-84.00674
Edwardsville,IL,Illinois,,24992,38.81144,-89.95316
Riverside,OH,Ohio,,24972,39.77978,-84.1241
Athens,AL,Alabama,,24966,34.80243,-86.97219
Woodbridge,CA,California,,24966,33.67724,-117.79442
Liliha - Kapalama,HI,Hawaii,,24953,21.33735,-157.85418
Sanger,CA,California,,24950,36.70801,-119.55597
Westmont,IL,Illinois,,24941,41.79586,-87.97562
Wakefield,MA,Massachusetts,,24932,42.50648,-71.07283
San Fernando,CA,California,,24931,34.28195,-118.43897
